Heartbeat,Hours_Worked,Weather,Location,Recommendation
90,13,Sunny,Urban,Public Interaction
81,6,Sunny,Urban,Public Interaction
89,12,Snowy,Suburban,Meditation
64,5,Sunny,Suburban,Meditation
72,5,Sunny,Suburban,Meditation
73,4,Sunny,Suburban,Meditation
66,10,Sunny,Suburban,Meditation
94,4,Sunny,Rural,Meditation
73,12,Cloudy,Urban,Public Interaction
72,5,Snowy,Rural,Meditation
75,11,Cloudy,Suburban,Meditation
81,13,Rainy,Rural,Walk
85,4,Sunny,Rural,Meditation
51,11,Sunny,Rural,Meditation
75,12,Sunny,Suburban,Meditation
53,8,Rainy,Rural,Walk
92,12,Snowy,Urban,Public Interaction
82,10,Snowy,Suburban,Meditation
63,10,Rainy,Rural,Walk
51,13,Rainy,Suburban,Walk
78,9,Snowy,Rural,Meditation
53,6,Rainy,Urban,Public Interaction
102,12,Rainy,Rural,Walk
99,6,Rainy,Urban,Public Interaction
85,13,Sunny,Urban,Public Interaction
91,13,Cloudy,Rural,Reflection
67,12,Sunny,Rural,Meditation
94,9,Sunny,Suburban,Meditation
80,7,Sunny,Urban,Public Interaction
52,10,Sunny,Urban,Public Interaction
99,5,Sunny,Urban,Public Interaction
108,12,Sunny,Suburban,Reflection
96,13,Rainy,Urban,Public Interaction
104,6,Sunny,Suburban,Meditation
82,5,Sunny,Urban,Public Interaction
106,5,Rainy,Suburban,Walk
91,6,Rainy,Suburban,Walk
58,6,Cloudy,Urban,Public Interaction
93,10,Sunny,Suburban,Meditation
57,7,Rainy,Rural,Walk
84,8,Sunny,Urban,Public Interaction
66,11,Sunny,Rural,Meditation
100,11,Sunny,Suburban,Reflection
107,10,Rainy,Rural,Walk
60,6,Sunny,Suburban,Meditation
88,5,Sunny,Urban,Public Interaction
93,11,Sunny,Rural,Reflection
84,9,Rainy,Urban,Public Interaction
97,6,Sunny,Rural,Meditation
106,7,Cloudy,Suburban,Meditation
79,12,Sunny,Urban,Public Interaction
97,9,Cloudy,Rural,Meditation
94,4,Cloudy,Rural,Meditation
84,7,Sunny,Rural,Meditation
106,5,Rainy,Rural,Walk
64,9,Sunny,Suburban,Meditation
53,8,Rainy,Suburban,Walk
109,10,Rainy,Suburban,Walk
82,8,Sunny,Suburban,Meditation
84,4,Cloudy,Rural,Meditation
92,9,Cloudy,Suburban,Meditation
65,9,Rainy,Suburban,Walk
93,7,Sunny,Urban,Public Interaction
94,4,Snowy,Rural,Meditation
88,10,Sunny,Urban,Public Interaction
107,4,Cloudy,Urban,Public Interaction
58,13,Snowy,Urban,Public Interaction
86,10,Cloudy,Suburban,Meditation
83,11,Sunny,Rural,Meditation
63,7,Snowy,Suburban,Meditation
107,12,Cloudy,Suburban,Reflection
56,13,Rainy,Rural,Walk
94,8,Rainy,Rural,Walk
98,12,Sunny,Suburban,Reflection
65,7,Sunny,Urban,Public Interaction
64,10,Sunny,Rural,Meditation
57,12,Sunny,Urban,Public Interaction
96,5,Sunny,Urban,Public Interaction
73,11,Snowy,Suburban,Meditation
96,11,Sunny,Suburban,Reflection
53,12,Sunny,Rural,Meditation
67,7,Sunny,Suburban,Meditation
84,11,Sunny,Rural,Meditation
103,4,Snowy,Suburban,Meditation
100,8,Sunny,Rural,Meditation
53,4,Sunny,Rural,Meditation
88,7,Sunny,Urban,Public Interaction
93,13,Sunny,Rural,Reflection
74,5,Sunny,Rural,Meditation
77,13,Cloudy,Rural,Meditation
82,11,Sunny,Suburban,Meditation
